Serial No.,University Rating,SOP,WSD,WPR,WSA,WWORK,WPGE,PGE,CL,Math_Included,English_Included,MTH,ENG,Score,SL,Pass,Keep_PGE,Research,Paper,CET4,CET6,CGPA,DV2CL,DV2SL
1,3,5,0,0,0,0,1,1,273,1,1,88,66,281,341,1,1,0,0,452,440,3.88,8,-60
2,5,5,0,0,0,0,1,1,260,1,1,100,73,337,320,1,1,1,0,582,482,3.03,77,17
4,4,2,0,0,0,0,1,1,273,1,1,60,60,273,360,0,0,1,0,425,425,3.5,0,-87
9,3,4,0,0,0,0,1,1,193,1,1,60,74,220,228,0,1,1,1,511,449,3.2,27,-8
12,3,5,0,0,0,0,1,1,263,1,1,94,71,354,379,0,1,1,0,493,464,3,91,-25
28,3,4,0,0,0,0,1,1,280,1,1,112,59,330,320,0,0,0,0,462,431,3.7,50,10
34,5,5,0,0,0,0,1,1,360,1,1,129,77,380,360,1,1,0,0,502,448,2.96,20,20
41,3,5,0,0,0,0,1,1,273,1,1,80,70,263,273,0,1,0,0,450,499,3,-10,-10
51,5,5,0,0,0,0,1,1,273,1,1,94,70,323,329,1,1,1,0,434,441,3.208,50,-6
52,5,5,0,0,0,0,1,1,273,1,1,83,73,306,300,0,1,0,0,573,545,3.426666667,33,6
53,3,5,0,0,0,0,1,1,273,1,1,59,68,274,340,0,0,0,0,472,451,3.16,1,-66
54,3,5,0,0,0,0,1,1,273,1,1,105,78,341,344,1,1,1,0,483,449,3.3716,68,-3
55,4,5,0,0,0,0,1,1,273,1,1,112,82,386,355,1,1,1,0,488,496,3.4,113,31
58,3,4,0,0,0,0,1,1,273,1,1,90,75,310,319,0,0,1,0,519,520,2.568,37,-9
61,3,4,0,0,0,0,1,1,273,1,1,100,70,340,310,1,1,1,1,490,460,3.2,67,30
64,3,4,0,0,0,0,1,1,273,1,1,56,70,318,273,0,0,0,0,513,446,3.03,45,45
65,3,5,0,0,0,0,1,1,273,1,1,83,63,329,336,1,1,1,0,430,431,2.96,56,-7
66,3,5,0,0,0,0,1,1,273,1,1,81,74,339,380,1,1,1,1,505,430,3.9,66,-41
71,3,5,0,0,0,0,1,1,273,1,1,80,63,319,339,0,0,0,0,431,431,3.2,46,-20
74,4,5,0,0,0,0,1,1,260,1,1,100,50,350,340,1,1,0,0,450,450,3.5,90,10
77,3,4,0,0,0,0,1,1,273,1,1,90,68,304,315,0,1,0,0,459,431,2.56,31,-11
79,3,5,0,0,0,0,1,1,273,1,1,77,65,287,285,0,1,1,0,424,431,2.7,14,2
80,3,5,0,0,0,0,1,1,263,1,1,56,61,266,273,0,0,0,0,456,431,3.2,3,-7
81,3,5,0,0,0,0,1,1,263,1,1,90,50,312,320,1,1,1,0,442,431,3.6,49,-8
82,3,5,0,0,0,0,1,1,273,1,1,106,76,369,390,1,1,1,0,474,474,1.8,96,-21
86,3,5,0,0,0,0,1,1,273,1,1,77,74,334,384,0,1,0,0,512,451,3.3,61,-50
