Serial No.	University Rating	SOP	WSD	WPR	WSA	WWORK	WPGE	Way	PGE	CL	Math_Included	English_Included	MTH	ENG	Score	SL	Pass	Keep_PGE	Offer	 Postgraduate_Recommendation	Straight2Doctorate	LOR	Research	Paper	CET4	CET6	CGPA	TOEFL	IELTS	GRE	DV2CL	DV2SL	1	直博
1	3	5	WSD					考研	1	273	1	1	88	66	281	341	1	NULL	NULL	NULL	NULL	NULL	0	0	452	440	3.88	NULL	NULL	NULL	8	-60	0	考研
2	5	5	#N/A					考研	1	260	1	1	100	73	337	320	1	NULL	NULL	NULL	NULL	NULL	1	0	582	482	3.03	NULL	NULL	NULL	77	17	0	保研
3	3	2	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	3	0	0	495	435	3.6	NULL	NULL	NULL	#VALUE!	#VALUE!	0	工作
4	4	2	考研					考研	1	273	1	1	60	60	273	360	0	0	NULL	NULL	NULL	NULL	1	0	425	425	3.5	NULL	NULL	NULL	0	-87	0	出国留学
5	3	5	直博					直博	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	1	1	427	NULL	3.4	NULL	NULL	NULL	#VALUE!	#VALUE!		
6	5	5	直博					直博	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	1	1	588	590	3.7	109	NULL	NULL	#VALUE!	#VALUE!		
7	5	5	直博					直博	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	1	1	606	499	3.16	98	NULL	NULL	#VALUE!	#VALUE!		
8	3	1	工作					工作	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	574	438	3.2	NULL	NULL	NULL	#VALUE!	#VALUE!		
9	3	4	考研					考研	1	193	1	1	60	74	220	228	0	1	NULL	NULL	NULL	NULL	1	1	511	449	3.2	NULL	NULL	NULL	27	-8		
10	4	5	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	427	400	2.9	NULL	NULL	NULL	#VALUE!	#VALUE!		
11	3	4	考研					考研	1	290	0	1	NULL	59	321	357	1	NULL	NULL	NULL	NULL	NULL	1	0	467	NULL	2.728	NULL	NULL	NULL	31	-36		
12	3	5	考研					考研	1	263	1	1	94	71	354	379	0	1	NULL	NULL	NULL	NULL	1	0	493	464	3	NULL	NULL	NULL	91	-25		
13	3	4	直博					直博	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	0	0	550	NULL	3.6	NULL	NULL	NULL	#VALUE!	#VALUE!		
