University Rating,SOP,KS,MTH,ENG,Score,Pass,Keep_PGE,Offer, Postgraduate_Recommendation,Straight2Doctorate,LOR,Research,Paper,CET4,CET6,CGPA,TOEFL,IELTS,GRE,DV2CL,DV2SL
3,5,1,88,66,281,1,NULL,NULL,NULL,NULL,NULL,0,0,452,440,3.88,NULL,NULL,NULL,8,-60
5,5,1,100,73,337,1,NULL,NULL,NULL,NULL,NULL,1,0,582,482,3.03,NULL,NULL,NULL,77,17
3,2,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,3,0,0,495,435,3.6,NULL,NULL,NULL,NULL,NULL
4,2,1,60,60,273,0,0,NULL,NULL,NULL,NULL,1,0,425,425,3.5,NULL,NULL,NULL,0,-87
3,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,1,427,NULL,3.4,NULL,NULL,NULL,NULL,NULL
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,1,588,590,3.7,109,NULL,NULL,NULL,NULL
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,1,606,499,3.16,98,NULL,NULL,NULL,NULL
3,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,574,438,3.2,NULL,NULL,NULL,NULL,NULL
3,4,1,60,74,220,0,1,NULL,NULL,NULL,NULL,1,1,511,449,3.2,NULL,NULL,NULL,27,-8
4,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,427,400,2.9,NULL,NULL,NULL,NULL,NULL
3,4,1,NULL,59,321,1,NULL,NULL,NULL,NULL,NULL,1,0,467,NULL,2.728,NULL,NULL,NULL,31,-36
3,5,1,94,71,354,0,1,NULL,NULL,NULL,NULL,1,0,493,464,3,NULL,NULL,NULL,91,-25
3,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,0,550,NULL,3.6,NULL,NULL,NULL,NULL,NULL
3,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,0,588,488,3.86,NULL,6.5,NULL,NULL,NULL
4,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,450,421,3.24,NULL,NULL,NULL,NULL,NULL
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,0,540,NULL,3.1,NULL,6.5,NULL,NULL,NULL
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,0,590,585,3.32,NULL,NULL,NULL,NULL,NULL
3,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,540,NULL,4,NULL,NULL,NULL,NULL,NULL
4,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,491,532,4,NULL,NULL,NULL,NULL,NULL
2,2,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,3,1,1,444,333,4,NULL,NULL,NULL,NULL,NULL
3,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,2.9,NULL,NULL,NULL,NULL,NULL
