University Rating,SOP,WPGE,PGE,MTH,ENG,Score,Pass,Keep_PGE,Research,Paper,CET4,CET6,CGPA,DV2CL,DV2SL
3,5,1,1,88,66,281,1,NULL,0,0,452,440,3.88,8,-60
5,5,1,1,100,73,337,1,NULL,1,0,582,482,3.03,77,17
4,2,1,1,60,60,273,0,0,1,0,425,425,3.5,0,-87
3,4,1,1,60,74,220,0,1,1,1,511,449,3.2,27,-8
4,5,1,0,NULL,NULL,NULL,NULL,NULL,0,0,427,400,2.9,#VALUE!,#VALUE!
3,4,1,1,NULL,59,321,1,NULL,1,0,467,NULL,2.728,31,-36
3,5,1,1,94,71,354,0,1,1,0,493,464,3,91,-25
3,3,1,0,NULL,NULL,NULL,NULL,NULL,1,0,540,NULL,4,#VALUE!,#VALUE!
4,5,1,0,NULL,NULL,NULL,NULL,NULL,0,0,491,532,4.0,#VALUE!,#VALUE!
3,3,1,0,NULL,NULL,NULL,NULL,NULL,0,0,0,0,2.9,#VALUE!,#VALUE!
4,5,1,0,NULL,NULL,NULL,NULL,NULL,1,0,586,NULL,3.12,#VALUE!,#VALUE!
3,4,1,0,NULL,NULL,NULL,NULL,NULL,1,0,499,360,2.568,#VALUE!,#VALUE!
3,4,1,1,112,59,330,0,0,0,0,462,NULL,3.7,50,10
3,5,1,0,NULL,NULL,NULL,NULL,NULL,0,0,500,480,3,#VALUE!,#VALUE!
5,5,1,1,129,77,380,1,NULL,0,0,502,448,2.96,20,20
3,4,1,0,NULL,NULL,NULL,NULL,NULL,0,0,509,NULL,NULL,#VALUE!,#VALUE!
3,5,1,1,80,70,263,0,1,0,0,450,499,3.0,-10,-10
3,4,1,0,NULL,NULL,NULL,NULL,NULL,0,0,555,445,3.1,#VALUE!,#VALUE!
4,5,1,1,NULL,70,360,0,1,1,0,650,NULL,3.85,-7,-20
3,5,1,0,NULL,NULL,NULL,NULL,NULL,0,0,44,395,3.0,#VALUE!,#VALUE!
5,5,1,1,94,70,323,1,NULL,1,0,434,441,3.208,50,-6
5,5,1,1,83,73,306,0,1,0,0,573,545,3.426666667,33,6
3,5,1,1,59,68,274,0,0,0,0,472,451,NULL,1,-66
3,5,1,1,105,78,341,1,NULL,1,0,483,449,3.3716,68,-3
4,5,1,1,112,82,386,1,NULL,1,0,488,496,3.4,113,31
3,4,1,1,90,75,310,0,0,1,0,519,520,2.568,37,-9
3,4,1,1,100,70,340,1,NULL,1,1,490,460,80,67,30
3,4,1,1,56,70,318,0,0,0,0,513,446,3.03,45,45
3,5,1,1,83,63,329,1,NULL,1,0,430,NULL,2.96,56,-7
