University Rating,SOP,Success,Research,Paper,CET4,CET6,CGPA
3,5,0,1,1,427,410,3.4
5,5,1,1,1,588,590,3.7
5,5,1,1,1,606,499,3.16
3,4,0,0,0,550,472,3.6
3,5,1,1,0,588,488,3.86
5,5,1,1,0,540,473,3.1
5,5,1,1,0,590,585,3.32
5,5,1,1,1,525,523,3.7
3,2,0,1,0,420,423,3.2
5,5,1,1,0,520,467,3.4
4,5,0,1,0,474,425,3.12
3,5,0,0,0,551,486,2.32
5,5,0,1,1,651,638,3.5
5,4,0,0,0,480,460,3.2
5,5,0,1,1,643,598,3.534883721
5,5,0,1,1,600,612,3.6
3,5,0,1,0,509,484,3.4
5,4,0,1,0,591,511,3.384
3,5,0,1,0,474,431,3.3
5,5,1,1,1,470,440,3
5,5,0,1,1,544,486,3.36
4,5,0,0,0,448,428,3.3
3,5,0,0,0,481,471,3.69
5,5,0,0,0,594,530,3.32
5,5,0,1,0,580,520,3.44
5,5,1,1,0,534,505,3.04
5,5,1,1,1,520,516,3.52
5,5,0,1,1,611,548,3.4292
3,5,0,0,0,401,419,2.64
3,5,0,1,0,425,400,2.9
3,5,0,0,0,534,486,3.95
3,4,0,1,0,450,451,3.1
5,5,1,1,1,580,458,3.4
5,5,0,1,1,500,440,3.5
5,3,1,1,0,604,473,4
5,3,1,1,0,654,647,3.28
3,5,0,0,0,487,435,3.31
